거래ID,거래일시,고객ID,고객연령,고객성별,고객지역,제품코드,제품명,카테고리,수량,단가,총금액,결제방법,할인율,마케팅채널,판매사원ID
TXN000001,2025-03-02 16:42:48,CUST4298,54,여성,대구,PRD006,블루투스 스피커,전자제품,3,150000,427500,할부,5,카페추천,EMP049
TXN000002,2025-04-20 12:31:15,CUST2100,34,여성,의정부,PRD007,커피머신 Nespresso,가전제품,1,300000,300000,현금,0,온라인몰,EMP046
TXN000003,2025-04-28 13:26:19,CUST0449,24,여성,하남,PRD005,요가매트,스포츠용품,3,50000,142500,신용카드,5,네이버쇼핑,EMP023
TXN000004,2025-06-17 13:35:56,CUST3629,51,여성,안산,PRD001,화장품 세트,뷰티,1,100000,100000,카드,0,헬스장추천,EMP033
TXN000005,2025-03-08 11:09:02,CUST3281,47,남성,용인,PRD002,무선이어폰 AirPods,전자제품,1,200000,140000,현금,30,네이버쇼핑,EMP022
TXN000006,2025-06-23 20:11:35,CUST0452,64,남성,의정부,PRD005,요가매트,스포츠용품,1,50000,47500,신용카드,5,온라인광고,EMP008
TXN000007,2025-01-31 19:12:49,CUST0351,37,남성,성남,PRD001,화장품 세트,뷰티,1,100000,85000,할부,15,매장방문,EMP021
TXN000008,2025-04-17 13:04:21,CUST4485,52,남성,부천,PRD001,화장품 세트,뷰티,1,100000,100000,현금,0,TV광고,EMP003
TXN000009,2025-06-22 19:31:32,CUST0536,39,남성,울산,PRD003,운동화 Nike Air Max,의류/신발,5,100000,500000,신용카드,0,학교할인,EMP009
TXN000010,2025-05-31 09:54:57,CUST3969,32,남성,용인,PRD006,블루투스 스피커,전자제품,1,150000,142500,신용카드,5,카페추천,EMP026
TXN000011,2025-04-11 19:40:18,CUST0582,23,여성,김포,PRD001,화장품 세트,뷰티,1,100000,100000,현금,0,학교할인,EMP027
TXN000012,2025-01-10 21:32:20,CUST3868,53,남성,성남,PRD010,책상 IKEA,가구,1,300000,285000,현금,5,온라인몰,EMP004
TXN000013,2025-04-11 20:04:36,CUST3781,41,남성,시흥,PRD002,무선이어폰 AirPods,전자제품,2,200000,400000,할부,0,온라인몰,EMP032
TXN000014,2025-05-04 16:48:31,CUST2142,63,남성,안양,PRD001,화장품 세트,뷰티,1,100000,85000,신용카드,15,온라인광고,EMP010
TXN000015,2025-04-28 15:32:07,CUST0458,31,여성,김포,PRD006,블루투스 스피커,전자제품,1,150000,150000,카드,0,지인추천,EMP008
TXN000016,2025-04-24 12:09:15,CUST2409,21,남성,인천,PRD002,무선이어폰 AirPods,전자제품,1,200000,190000,현금,5,학교할인,EMP030
TXN000017,2025-05-08 19:24:57,CUST1829,63,여성,부산,PRD008,노트북 MacBook Air,전자제품,2,2100000,4200000,카드,0,지인추천,EMP004
TXN000018,2025-03-19 21:09:10,CUST2933,30,여성,인천,PRD002,무선이어폰 AirPods,전자제품,1,200000,200000,할부,0,네이버블로그,EMP037
TXN000019,2025-05-22 15:12:45,CUST2075,19,남성,김포,PRD003,운동화 Nike Air Max,의류/신발,1,100000,100000,카드,0,유튜브,EMP033
TXN000020,2025-05-26 21:47:13,CUST4704,22,여성,대구,PRD009,프로틴 파우더,건강식품,1,100000,80000,현금,20,카페추천,EMP011
TXN000021,2025-03-24 15:54:15,CUST2509,46,남성,의정부,PRD001,화장품 세트,뷰티,1,100000,100000,현금,0,인플루언서,EMP044
TXN000022,2025-04-16 13:10:07,CUST3598,51,남성,광주,PRD001,화장품 세트,뷰티,1,100000,80000,할부,20,인플루언서,EMP025
TXN000023,2025-05-27 16:55:41,CUST2004,35,여성,성남,PRD009,프로틴 파우더,건강식품,1,100000,90000,현금,10,온라인몰,EMP039
TXN000024,2025-02-07 12:20:36,CUST3587,57,여성,평택,PRD003,운동화 Nike Air Max,의류/신발,1,100000,95000,현금,5,네이버쇼핑,EMP001
TXN000025,2025-05-28 09:46:43,CUST2281,19,남성,시흥,PRD006,블루투스 스피커,전자제품,1,150000,112500,신용카드,25,카카오톡,EMP041
TXN000026,2025-05-09 09:24:10,CUST3241,43,여성,성남,PRD001,화장품 세트,뷰티,2,100000,180000,현금,10,네이버블로그,EMP049
TXN000027,2025-06-08 15:12:30,CUST4028,59,여성,평택,PRD002,무선이어폰 AirPods,전자제품,1,200000,170000,할부,15,네이버블로그,EMP027
TXN000028,2025-04-27 10:54:51,CUST4953,43,여성,용인,PRD008,노트북 MacBook Air,전자제품,1,2100000,2100000,신용카드,0,TV광고,EMP018
TXN000029,2025-04-02 12:41:47,CUST1970,22,남성,용인,PRD002,무선이어폰 AirPods,전자제품,1,200000,190000,카드,5,학교할인,EMP046
TXN000030,2025-04-07 11:25:55,CUST3153,34,남성,부천,PRD003,운동화 Nike Air Max,의류/신발,2,100000,200000,카드,0,쿠팡,EMP044
TXN000031,2025-04-24 09:42:17,CUST4726,33,남성,대구,PRD003,운동화 Nike Air Max,의류/신발,3,100000,300000,할부,0,크로스핏,EMP045
TXN000032,2025-01-28 10:26:31,CUST1289,30,여성,성남,PRD006,블루투스 스피커,전자제품,1,150000,127500,현금,15,매장방문,EMP012
TXN000033,2025-05-04 17:29:04,CUST3711,51,남성,수원,PRD004,스마트폰 Galaxy S24,전자제품,1,700000,700000,신용카드,0,헬스장추천,EMP030
TXN000034,2025-04-22 18:35:40,CUST4811,56,여성,대구,PRD005,요가매트,스포츠용품,1,50000,45000,현금,10,인플루언서,EMP005
TXN000035,2025-06-16 16:34:22,CUST3682,35,여성,안양,PRD001,화장품 세트,뷰티,1,100000,90000,현금,10,네이버블로그,EMP026
TXN000036,2025-04-03 09:11:03,CUST1697,21,여성,고양,PRD002,무선이어폰 AirPods,전자제품,1,200000,200000,신용카드,0,카카오톡,EMP038
TXN000037,2025-03-19 17:14:51,CUST1665,56,남성,성남,PRD001,화장품 세트,뷰티,3,100000,300000,카드,0,네이버쇼핑,EMP040
TXN000038,2025-03-14 17:15:48,CUST3745,43,남성,하남,PRD008,노트북 MacBook Air,전자제품,2,2100000,4200000,할부,0,네이버쇼핑,EMP023
TXN000039,2025-05-19 11:15:50,CUST0299,54,남성,대구,PRD010,책상 IKEA,가구,1,300000,285000,카드,5,헬스장추천,EMP024
TXN000040,2025-06-05 09:21:23,CUST4104,30,여성,부천,PRD006,블루투스 스피커,전자제품,1,150000,142500,카드,5,인플루언서,EMP018
TXN000041,2025-04-15 21:53:54,CUST3529,65,남성,대전,PRD009,프로틴 파우더,건강식품,1,100000,90000,현금,10,구글광고,EMP019
TXN000042,2025-05-19 20:10:24,CUST1545,23,남성,고양,PRD006,블루투스 스피커,전자제품,1,150000,150000,현금,0,헬스장추천,EMP032
TXN000043,2025-05-06 21:28:44,CUST4615,36,여성,성남,PRD008,노트북 MacBook Air,전자제품,1,2100000,2100000,현금,0,블로그,EMP039
TXN000044,2025-02-29 10:30:54,CUST2379,56,여성,고양,PRD005,요가매트,스포츠용품,1,50000,50000,신용카드,0,인스타그램,EMP019
TXN000045,2025-04-18 21:08:24,CUST1176,23,여성,서울,PRD004,스마트폰 Galaxy S24,전자제품,1,700000,700000,현금,0,크로스핏,EMP036
TXN000046,2025-02-21 13:30:31,CUST2311,54,여성,용인,PRD001,화장품 세트,뷰티,1,100000,100000,현금,0,온라인광고,EMP010
TXN000047,2025-04-04 14:35:47,CUST3526,19,여성,김포,PRD003,운동화 Nike Air Max,의류/신발,1,100000,100000,현금,0,학교할인,EMP011
TXN000048,2025-02-29 12:58:42,CUST1723,39,남성,의정부,PRD002,무선이어폰 AirPods,전자제품,1,200000,200000,신용카드,0,온라인광고,EMP012
TXN000049,2025-05-07 20:59:33,CUST3428,62,남성,대구,PRD001,화장품 세트,뷰티,2,100000,190000,카드,5,매장방문,EMP001
TXN000050,2025-05-26 16:11:18,CUST1441,62,여성,김포,PRD002,무선이어폰 AirPods,전자제품,2,200000,300000,현금,25,쿠팡,EMP012
TXN000051,2025-03-15 15:10:08,CUST2947,23,남성,울산,PRD004,스마트폰 Galaxy S24,전자제품,5,700000,3500000,신용카드,0,페이스북,EMP018
TXN000052,2025-04-17 10:17:56,CUST4471,49,여성,평택,PRD003,운동화 Nike Air Max,의류/신발,1,100000,100000,할부,0,카페추천,EMP008
TXN000053,2025-04-15 09:20:32,CUST2865,46,여성,울산,PRD001,화장품 세트,뷰티,1,100000,100000,신용카드,0,카페추천,EMP007
TXN000054,2025-05-05 17:08:37,CUST1542,42,여성,시흥,PRD002,무선이어폰 AirPods,전자제품,1,200000,180000,현금,10,구글광고,EMP002
TXN000055,2025-05-31 12:05:25,CUST3667,57,남성,구리,PRD008,노트북 MacBook Air,전자제품,2,2100000,3990000,신용카드,5,쿠팡,EMP044
TXN000056,2025-05-02 19:45:00,CUST1572,52,여성,성남,PRD001,화장품 세트,뷰티,1,100000,100000,할부,0,블로그,EMP022
TXN000057,2025-04-30 19:20:11,CUST2691,62,여성,성남,PRD009,프로틴 파우더,건강식품,1,100000,100000,할부,0,블로그,EMP042
TXN000058,2025-05-09 15:51:20,CUST4572,23,여성,평택,PRD002,무선이어폰 AirPods,전자제품,2,200000,400000,현금,0,페이스북,EMP049
TXN000059,2025-06-17 15:37:26,CUST0246,45,여성,김포,PRD003,운동화 Nike Air Max,의류/신발,4,100000,400000,현금,0,블로그,EMP001
TXN000060,2025-06-04 09:27:08,CUST4555,40,남성,안산,PRD004,스마트폰 Galaxy S24,전자제품,3,700000,2100000,할부,0,네이버쇼핑,EMP020
TXN000061,2025-03-03 09:18:02,CUST2630,39,여성,안양,PRD007,커피머신 Nespresso,가전제품,1,300000,285000,현금,5,네이버쇼핑,EMP039
